season,week,franchise_name,off,deff,potential,composite,adjusted_all_play,actual_all_play,expected_all_play,k,elo
2026,1,Arizona Cardinals,60.400000000000006,124.4,223.0,136.93627350558,10.0,10.0,15.365197274573482,1.814857758,1487.2973711253871
2026,1,Atlanta Falcons,129.8,61.7,214.9,134.01513774642,8.0,14.0,15.680279160810308,1.814857758,1489.96816609607
2026,1,Baltimore Ravens,48.400000000000006,129.0,223.9,135.07333425490998,9.0,8.0,13.73877230833633,1.814857758,1452.8064231980763
2026,1,Buffalo Bills,137.4,105.1,286.4,175.44977494736997,26.0,27.0,14.266610867527213,1.814857758,1494.3153950913752
2026,1,Carolina Panthers,138.5,96.4,253.6,161.84293694002,22.0,25.0,16.39268312760764,1.814857758,1529.6413751400198
2026,1,Chicago Bears,84.80000000000001,89.6,226.2,133.4161664341,7.0,7.0,15.749322616225854,1.814857758,1489.5341587672287
2026,1,Cincinnati Bengals,57.8,80.2,189.1,109.27359501163,2.0,1.5,16.366631245345175,1.814857758,1492.821566870776
2026,1,Cleveland Browns,131.60000000000002,98.8,259.0,162.30554389894002,23.0,24.0,15.608172719244608,1.814857758,1515.7490802766968
2026,1,Dallas Cowboys,142.70000000000002,119.4,320.0,193.31605490896,31.0,29.0,14.807461394475377,1.814857758,1514.2478874995077
2026,1,Denver Broncos,103.9,82.1,237.9,140.67637659742002,12.0,11.5,17.795211554402993,1.814857758,1539.8646361102337
2026,1,Detroit Lions,99.1,120.8,247.7,156.06755072105,16.0,20.0,15.547454476517736,1.814857758,1501.8309385192981
2026,1,Green Bay Packers,90.1,95.9,234.3,139.99811782924002,11.0,11.5,14.196113114237832,1.814857758,1465.673243516336
2026,1,Houston Texans,175.9,43.5,257.6,156.30264448327,17.0,18.0,15.87059453097227,1.814857758,1510.1086721188963
2026,1,Indianapolis Colts,116.4,105.6,252.2,157.65435653926,21.0,21.0,15.949119294233752,1.814857758,1518.9393996822496
2026,1,Jacksonville Jaguars,111.3,94.1,269.0,157.56390860399,20.0,15.0,16.730788747783187,1.814857758,1532.8052730740096
2026,1,Kansas City Chiefs,129.5,90.1,254.2,156.98116812847,18.0,19.0,15.093757036917228,1.814857758,1496.3868216097742
2026,1,Las Vegas Raiders,101.20000000000002,166.9,283.2,184.77379178507,29.0,30.0,15.80591445207954,1.814857758,1530.5930013187674
2026,1,Los Angeles Chargers,94.5,134.9,298.6,176.48203298847,27.0,23.0,14.484487584025114,1.814857758,1500.5102593628524
2026,1,Los Angeles Rams,63.2,79.2,179.1,107.30535377997,1.0,3.0,15.61451946875513,1.814857758,1475.9491237843743
2026,1,Miami Dolphins,133.3,118.8,268.3,172.98356811755002,25.0,28.0,16.309170687409427,1.814857758,1533.410872196798
2026,1,Minnesota Vikings,72.1,65.9,204.7,113.91527622216,4.0,1.5,16.70161995251007,1.814857758,1503.1805973193786
2026,1,New England Patriots,112.4,96.9,229.7,145.85713629034,14.0,16.5,14.777137840602418,1.814857758,1482.7876871295996
2026,1,New Orleans Saints,140.5,84.3,316.9,179.21069327149996,28.0,22.0,14.572499709724063,1.814857758,1504.0920056861462
2026,1,New York Giants,72.19999999999999,99.4,222.7,131.73838501627,6.0,6.0,15.59325976624104,1.814857758,1484.5982903348158
2026,1,New York Jets,78.1,101.1,246.8,142.19624511271002,13.0,9.0,15.021643976503462,1.814857758,1485.8694024093895
2026,1,Philadelphia Eagles,161.2,74.8,258.2,162.90807785165998,24.0,26.0,15.880618993508207,1.814857758,1523.0132441874298
2026,1,Pittsburgh Steelers,61.8,84.39999999999999,238.7,128.47625365713,5.0,4.0,13.597377005505413,1.814857758,1442.6790407629574
2026,1,San Francisco 49ers,85.4,104.5,265.3,151.83703112518,15.0,13.0,14.770782745541672,1.814857758,1484.4751886485517
2026,1,Seattle Seahawks,32.3,87.4,173.0,98.42907594822,0.0,0.0,14.61339802539809,1.814857758,1454.0966206372177
2026,1,Tampa Bay Buccaneers,74.4,134.9,260.5,157.49985962178,19.0,16.5,15.510140906198544,1.814857758,1506.529398492303
2026,1,Tennessee Titans,73.4,75.6,185.2,111.27632748835998,3.0,5.0,14.976135006997296,1.814857758,1466.8098854181521
2026,1,Washington Commanders,163.3,106.5,305.4,190.41676057575,30.0,31.0,18.613124409789545,1.814857758,1589.4149736153256
2026,2,Arizona Cardinals,87.0,94.5,217.0,132.78566681225,10.0,12.0,14.920936876133002,2.64520699,1474.280474489421
2026,2,Atlanta Falcons,131.0,108.5,263.9,167.16439673972002,24.0,28.0,15.042961666529424,2.64520699,1513.6613864556575
2026,2,Baltimore Ravens,95.7,109.7,232.6,146.06851001606998,15.0,18.5,13.356030359030084,2.64520699,1457.1550631862153
2026,2,Buffalo Bills,60.0,117.5,259.5,146.4882117061,16.0,11.0,15.241685956324533,2.64520699,1496.321292713468
2026,2,Carolina Panthers,104.6,79.3,228.4,136.75680898471,11.0,14.0,16.854058047129136,2.64520699,1514.156179909213
2026,2,Chicago Bears,115.4,120.7,290.3,175.3093449417,29.0,25.0,15.023128583446638,2.64520699,1526.5058767494866
2026,2,Cincinnati Bengals,82.00000000000001,79.3,205.6,122.06343280831,7.0,7.0,15.173386940976798,2.64520699,1471.2012665863008
2026,2,Cleveland Browns,60.6,126.6,247.3,145.83929629541,14.0,15.0,16.22144993632875,2.64520699,1509.872885342822
2026,2,Dallas Cowboys,114.5,137.4,259.3,170.62988703323,27.0,30.0,16.15291976029279,2.64520699,1542.9406599358572
2026,2,Denver Broncos,165.5,71.1,272.9,167.83696052758,25.0,26.0,17.317001846984915,2.64520699,1560.1877565457846
2026,2,Detroit Lions,25.499999999999982,108.2,174.2,104.02075966658,2.0,2.0,15.585391386237902,2.64520699,1465.894766280075
2026,2,Green Bay Packers,98.0,113.9,248.5,153.55188867203998,20.0,22.0,13.936626089765332,2.64520699,1481.7121225315825
2026,2,Houston Texans,115.1,99.2,250.9,154.55514137505,21.0,23.0,15.963845736835676,2.64520699,1523.430342586023
2026,2,Indianapolis Colts,116.29999999999998,91.9,252.9,153.02192489414,19.0,21.0,16.366998433023426,2.64520699,1525.9042338626998
2026,2,Jacksonville Jaguars,166.0,125.8,348.9,212.51227797305,31.0,31.0,16.997610361279996,2.64520699,1569.8444920505497
2026,2,Kansas City Chiefs,59.0,63.8,173.0,98.52363194828,1.0,1.0,15.336407864557772,2.64520699,1458.4640553015233
2026,2,Las Vegas Raiders,80.69999999999999,90.0,192.3,121.01474836191,6.0,9.0,16.897259297168933,2.64520699,1501.7674948667823
2026,2,Los Angeles Chargers,70.1,85.0,258.0,137.71007911376,12.0,6.0,15.524990334341826,2.64520699,1491.185930332786
2026,2,Los Angeles Rams,93.0,100.0,248.0,146.9053812762,17.0,16.0,14.40336185562318,2.64520699,1482.817769164445
2026,2,Miami Dolphins,102.79999999999998,142.8,262.8,170.006583372,26.0,29.0,17.02506067331229,2.64520699,1557.1514444033342
2026,2,Minnesota Vikings,23.200000000000003,80.2,167.5,91.19401136119,0.0,0.0,15.647115172173748,2.64520699,1461.7907389024633
2026,2,New England Patriots,45.80000000000001,94.5,189.3,110.60040141882,3.0,3.0,14.715053948381138,2.64520699,1451.7989445541805
2026,2,New Orleans Saints,87.0,149.8,297.1,178.87553416531,30.0,27.0,15.68879408524095,2.64520699,1541.9481076418635
2026,2,New York Giants,80.80000000000001,145.0,257.9,162.21857366535,23.0,24.0,14.797687248114114,2.64520699,1506.2951053188501
2026,2,New York Jets,88.80000000000001,117.5,260.8,156.00221891937002,22.0,20.0,14.85572139565586,2.64520699,1504.767498141017
2026,2,Philadelphia Eagles,115.8,89.6,315.6,172.85946907312,28.0,18.5,16.552643037995658,2.64520699,1553.2938728792792
2026,2,Pittsburgh Steelers,64.00000000000001,89.8,192.6,115.77709211216,5.0,4.0,12.902944792911848,2.64520699,1421.7741159304344
2026,2,San Francisco 49ers,74.79999999999998,95.4,212.9,127.89511930009,8.0,8.0,14.792067855344188,2.64520699,1466.5087632776906
2026,2,Seattle Seahawks,111.4,60.3,226.0,131.40192919397,9.0,10.0,13.4140182726771,2.64520699,1442.4206285881605
2026,2,Tampa Bay Buccaneers,110.8,83.7,264.7,152.31030602936,18.0,17.0,15.80024222187852,2.64520699,1512.348213175095
2026,2,Tennessee Titans,82.00000000000001,100.8,241.2,141.46201742604,13.0,13.0,13.988136949495098,2.64520699,1464.1960586475134
2026,2,Washington Commanders,56.2,98.3,190.7,115.68540640526,4.0,5.0,19.50446301480938,2.64520699,1548.40245964942
